Sample,SampleConc,EstConc,ntotal,npositive
1.50E+02,150,1726.7,25455,14752
1.50E+02,150,1740.7,25462,15039
1.50E+02,150,1760.4,25368,15364
1.50E+02,150,1875.6,25462,17671
1.50E+02,150,1824.1,25384,16059
1.50E+02,150,1712.3,25327,13226
1.50E+02,150,1842.9,25471,16994
1.50E+02,150,1705.4,25314,13382
1.50E+01,15,19.73,23947,385
1.50E+01,15,16.25,24358,294
1.50E+01,15,16.25,24358,294
1.50E+01,15,17.14,25388,355
1.50E+01,15,17.71,25342,366
1.50E+01,15,17.88,25310,369
1.50E+01,15,20.67,25429,428
1.50E+01,15,21.28,24992,433
1.50E+00,1.5,2.20,24398,44
1.50E+00,1.5,2.05,25401,38
1.50E+00,1.5,2.05,25401,38
1.50E+00,1.5,2.08,25183,43
1.50E+00,1.5,2.09,25116,43
1.50E+00,1.5,2.18,25155,45
1.50E+00,1.5,2.19,25059,45
1.50E+00,1.5,2.20,24154,39
1.50E-01,0.15,0.096,25404,2
1.50E-01,0.15,0.096,25444,2
1.50E-01,0.15,0.097,25165,2
1.50E-01,0.15,0.103,25266,2
1.50E-01,0.15,0.104,23368,2
1.50E-01,0.15,0.105,25423,2
1.50E-01,0.15,0.106,25433,2
1.50E-01,0.15,0.107,25426,2
1.50E-02,0.015,0.054,25462,1
1.50E-02,0.015,0.048,25415,1
1.50E-02,0.015,0.048,25400,1
1.50E-02,0.015,0.048,25418,1
1.50E-02,0.015,0.055,25460,1
1.50E-02,0.015,0.056,24155,1
1.50E-02,0.015,0.048,25344,1
1.50E-02,0.015,0.053,25421,1
1.50E-03,0.0015,0,25340,0
1.50E-03,0.0015,0,25462,0
1.50E-03,0.0015,0,25426,0
1.50E-03,0.0015,0,25475,0
1.50E-03,0.0015,0,25461,0
1.50E-03,0.0015,0,25439,0
1.50E-03,0.0015,0,25448,0
1.50E-03,0.0015,0.048,25342,1
1.50E-04,0.00015,0,25332,0
1.50E-04,0.00015,0,25374,0
1.50E-04,0.00015,0,25345,0
1.50E-04,0.00015,0,25426,0
1.50E-04,0.00015,0,25327,0
1.50E-04,0.00015,0,25405,0
1.50E-04,0.00015,0,25281,0
1.50E-04,0.00015,0,25447,0
