Sample,SampleConc,EstConc,ntotal,npositive
1.00E+03,1000,3500.5,24451,23072
1.00E+03,1000,2841.0,25447,22980
1.00E+03,1000,2943.0,25234,22439
1.00E+03,1000,2954.2,25234,23005
1.00E+03,1000,3040.5,25422,22775
1.00E+03,1000,3261.7,25371,23630
1.00E+03,1000,3346.3,25411,23945
1.00E+03,1000,2726.4,25316,22047
1.00E+02,100,312.9,25263,5726
1.00E+02,100,329.0,25364,5941
1.00E+02,100,360.1,25304,6479
1.00E+02,100,406.0,23461,6103
1.00E+02,100,425.9,25293,7466
1.00E+02,100,316.3,25264,5780
1.00E+02,100,355.2,25392,6231
1.00E+02,100,332.6,25213,6039
1.00E+01,10,2.64,25439,55
1.00E+01,10,2.49,25448,52
1.00E+01,10,2.59,25458,54
1.00E+01,10,2.65,25434,49
1.00E+01,10,2.66,25209,55
1.00E+01,10,2.67,25075,55
1.00E+01,10,2.68,25448,56
1.00E+01,10,2.71,25220,56
1.00E+00,1,0.538,25426,10
1.00E+00,1,0.576,25378,11
1.00E+00,1,0.668,25340,12
1.00E+00,1,0.616,25424,12
1.00E+00,1,0.575,25416,12
1.00E+00,1,0.486,25462,9
1.00E+00,1,0.527,25438,11
1.00E+00,1,0.602,25458,11
1.00E-01,0.1,0.096,25342,2
1.00E-01,0.1,0.107,25426,2
1.00E-01,0.1,0.097,25165,2
1.00E-01,0.1,0.111,25344,2
1.00E-01,0.1,0.122,22932,2
1.00E-01,0.1,0.106,25433,2
1.00E-01,0.1,0.096,25444,2
1.00E-01,0.1,0.096,25400,2
1.00E-02,0.01,0,25417,0
1.00E-02,0.01,0.048,25428,1
1.00E-02,0.01,0,25340,0
1.00E-02,0.01,0,25462,0
1.00E-02,0.01,0.053,25421,1
1.00E-02,0.01,0.056,24155,1
1.00E-02,0.01,0,25378,0
1.00E-02,0.01,0,25313,0
1.00E-03,0.001,0,25474,0
1.00E-03,0.001,0,25431,0
1.00E-03,0.001,0,25433,0
1.00E-03,0.001,0,25385,0
1.00E-03,0.001,0,25334,0
1.00E-03,0.001,0,25307,0
1.00E-03,0.001,0,25363,0
1.00E-03,0.001,0,25439,0
