Sample,SampleConc,EstConc,ntotal,npositive
1.00E+03,1000,2072.8,25424,20008
1.00E+03,1000,1804.6,25432,18893
1.00E+03,1000,1917.9,25045,20897
1.00E+03,1000,2072.8,25424,20008
1.00E+03,1000,2574.8,25182,22916
1.00E+03,1000,2841.0,25447,22980
1.00E+03,1000,2248.2,25414,21477
1.00E+03,1000,2089.3,25433,20119
1.00E+02,100,195.2,25447,3769
1.00E+02,100,171.8,25422,3345
1.00E+02,100,198.4,25413,3807
1.00E+02,100,199.4,25436,3843
1.00E+02,100,208.0,25432,3994
1.00E+02,100,218.0,25396,4164
1.00E+02,100,223.3,25409,4258
1.00E+02,100,185.7,25339,3541
1.00E+01,10,20.67,25429,428
1.00E+01,10,21.28,24992,433
1.00E+01,10,22.44,25464,465
1.00E+01,10,23.06,24992,469
1.00E+01,10,25.08,25433,467
1.00E+01,10,17.14,25388,355
1.00E+01,10,17.71,25342,366
1.00E+01,10,17.88,25310,369
1.00E+00,1,2.05,25401,38
1.00E+00,1,1.81,25460,33
1.00E+00,1,1.82,25451,38
1.00E+00,1,1.86,25390,35
1.00E+00,1,1.76,25433,33
1.00E+00,1,1.92,25453,40
1.00E+00,1,1.71,25426,32
1.00E+00,1,2.09,25116,43
1.00E-01,0.1,0.267,25426,5
1.00E-01,0.1,0.274,25461,5
1.00E-01,0.1,0.320,25439,6
1.00E-01,0.1,0.274,25460,5
1.00E-01,0.1,0.289,25291,6
1.00E-01,0.1,0.313,23368,6
1.00E-01,0.1,0.271,25448,5
1.00E-01,0.1,0.319,25313,6
1.00E-02,0.01,0.048,25383,1
1.00E-02,0.01,0.053,25421,1
1.00E-02,0.01,0.048,25447,1
1.00E-02,0.01,0.096,25363,2
1.00E-02,0.01,0.096,25244,2
1.00E-02,0.01,0.048,25342,1
1.00E-02,0.01,0.056,24155,1
1.00E-02,0.01,0.048,25400,1
1.00E-03,0.001,0,25426,0
1.00E-03,0.001,0,25475,0
1.00E-03,0.001,0,25461,0
1.00E-03,0.001,0,25439,0
1.00E-03,0.001,0,25448,0
1.00E-03,0.001,0,25426,0
1.00E-03,0.001,0,25313,0
1.00E-03,0.001,0,25423,0
