Sample,SampleConc,EstConc,ntotal,npositive
2.00E+01,20,3040.5,25422,22775
2.00E+01,20,2072.8,25424,20008
2.00E+01,20,2574.8,22182,18916
2.00E+01,20,2841,25447,22980
2.00E+01,20,2943,25234,22249
2.00E+01,20,2954.2,25234,23005
2.00E+01,20,3040.5,25422,22775
2.00E+01,20,3261.7,25371,23630
2.00E+00,2,25.46,25433,474
2.00E+00,2,21.28,24992,433
2.00E+00,2,22.44,25464,465
2.00E+00,2,23.06,24992,469
2.00E+00,2,25.08,25433,467
2.00E+00,2,25.41,25274,522
2.00E+00,2,25.46,25433,474
2.00E+00,2,26.79,25272,550
2.00E-01,0.2,3.404,25438,62
2.00E-01,0.2,3.408,25460,63
2.00E-01,0.2,3.458,25439,64
2.00E-01,0.2,3.563,25311,67
2.00E-01,0.2,3.616,25309,68
2.00E-01,0.2,3.143,25448,58
2.00E-01,0.2,3.237,25429,61
2.00E-01,0.2,3.678,25459,67
2.00E-02,0.02,0.216,25439,4
2.00E-02,0.02,0.274,25438,5
2.00E-02,0.02,0.274,25461,5
2.00E-02,0.02,0.282,24155,5
2.00E-02,0.02,0.289,25281,6
2.00E-02,0.02,0.267,25426,5
2.00E-02,0.02,0.27,25462,5
2.00E-02,0.02,0.266,25313,5
2.00E-03,0.002,0.056,24155,1
2.00E-03,0.002,0.053,25421,1
2.00E-03,0.002,0.054,25462,1
2.00E-03,0.002,0.048,25418,1
2.00E-03,0.002,0.048,25448,1
2.00E-03,0.002,0.056,24155,1
2.00E-03,0.002,0,25418,0
2.00E-03,0.002,0,25455,0
2.00E-04,0.0002,0,25344,0
2.00E-04,0.0002,0,25430,0
2.00E-04,0.0002,0,25449,0
2.00E-04,0.0002,0,25462,0
2.00E-04,0.0002,0,25423,0
2.00E-04,0.0002,0,25474,0
2.00E-04,0.0002,0,25471,0
2.00E-04,0.0002,0,25340,0
