Sample,SampleConc,EstConc,ntotal,npositive
1.50E+05,150000,1804.6,25432,18893
1.50E+05,150000,2226.4,25460,21371
1.50E+05,150000,2509.3,22607,19729
1.50E+05,150000,2227.9,25478,21391
1.50E+05,150000,2452.5,24486,19938
1.50E+05,150000,2072.8,25424,20008
1.50E+05,150000,2574.8,22182,18916
1.50E+05,150000,2841.0,25447,22980
1.50E+04,15000,208.0,25432,3994
1.50E+04,15000,218.0,25396,4164
1.50E+04,15000,223.3,25409,4258
1.50E+04,15000,260.1,25354,4878
1.50E+04,15000,268.7,25355,5022
1.50E+04,15000,271.3,25319,5347
1.50E+04,15000,316.3,25264,5780
1.50E+04,15000,360.1,25304,6479
1.50E+03,1500,21.53,25436,416
1.50E+03,1500,20.67,25429,428
1.50E+03,1500,25.08,25433,467
1.50E+03,1500,22.94,25464,481
1.50E+03,1500,23.46,25441,429
1.50E+03,1500,20.99,25326,406
1.50E+03,1500,17.71,25342,366
1.50E+03,1500,17.88,25310,369
1.50E+02,150,2.09,25116,43
1.50E+02,150,2.19,25059,45
1.50E+02,150,2.27,25189,47
1.50E+02,150,2.35,25456,44
1.50E+02,150,2.37,25154,49
1.50E+02,150,2.48,25475,45
1.50E+02,150,2.65,25434,49
1.50E+02,150,2.67,25075,55
1.50E+01,15,0.193,21683,3
1.50E+01,15,0.194,25116,4
1.50E+01,15,0.211,25311,4
1.50E+01,15,0.213,25439,4
1.50E+01,15,0.214,25456,4
1.50E+01,15,0.215,25407,4
1.50E+01,15,0.226,24155,4
1.50E+01,15,0.266,25313,5
1.50E+00,1.5,0.096,25458,2
1.50E+00,1.5,0.096,25291,2
1.50E+00,1.5,0.097,25183,2
1.50E+00,1.5,0.097,25075,2
1.50E+00,1.5,0.105,25419,2
1.50E+00,1.5,0.106,25433,2
1.50E+00,1.5,0.107,25423,2
1.50E+00,1.5,0.110,25460,2
1.50E-01,0.15,0.048,25367,1
1.50E-01,0.15,0.048,25367,1
1.50E-01,0.15,0.048,25449,1
1.50E-01,0.15,0.049,25059,1
1.50E-01,0.15,0.050,24111,1
1.50E-01,0.15,0.053,25313,1
1.50E-01,0.15,0,25454,0
1.50E-01,0.15,0,25450,0
1.50E-02,0.015,0,25427,0
1.50E-02,0.015,0,25471,0
1.50E-02,0.015,0,25440,0
1.50E-02,0.015,0,25470,0
1.50E-02,0.015,0,25463,0
1.50E-02,0.015,0,25441,0
1.50E-02,0.015,0.051,23806,1
1.50E-02,0.015,0.054,25471,1
1.50E-03,0.0015,0,25388,0
1.50E-03,0.0015,0,25342,0
1.50E-03,0.0015,0,25336,0
1.50E-03,0.0015,0,25371,0
1.50E-03,0.0015,0,25338,0
1.50E-03,0.0015,0,25343,0
1.50E-03,0.0015,0,25281,0
1.50E-03,0.0015,0,25447,0
