Sarotherodon melanotheron
Amatitlania nigrofasciata
Coptodon rendalli
Coptodon zillii
Etroplus maculatus
Etroplus suratensis
Heros severus
Oreochromis aureus
Oreochromis hornorum
Oreochromis mossambicus
Oreochromis niloticus
Rocio octofasciata
Symphysodon discus
Acrossocheilus kreyenbergii
Acrossocheilus yunnanensis
Amblyrhynchichthys micracanthus
Balantiocheilos melanopterus
Barbichthys laevis
Barbonymus altus
Barbonymus collingwoodii
Barbonymus gonionotus
Barbonymus schwanenfeldii
Boraras brigittae
Boraras maculatus
Boraras urophthalmoides
Catla catla
Catlocarpio siamensis
Cirrhinus cirrhosus
Cirrhinus jullieni
Cirrhinus microlepis
Cirrhinus mrigala
Cirrhinus prosemion
Ctenopharyngodon idella
Cyclocheilichthys apogon
Cyclocheilichthys armatus
Cyclocheilichthys enoplos
Cyclocheilichthys lagleri
Cyclocheilichthys repasson
Cyprinus carpio
Cyprinus rubrofuscus
Danio albolineatus
Danio choprae
Danio kerri
Danio margaritatus
Danio rerio
Discherodontus parvus
Epalzeorhynchos bicolor
Epalzeorhynchos frenatum
Epalzeorhynchos munense
Hampala macrolepidota
Henicorhynchus lineatus
Henicorhynchus lobatus
Henicorhynchus siamensis
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Hypsibarbus lagleri
Hypsibarbus pierrei
Hypsibarbus suvattii
Hypsibarbus wetmorei
Labeo bata
Labeo chrysophekadion
Labeo dyocheilus
Labeo rohita
Luciosoma bleekeri
Mystacoleucus greenwayi
Mystacoleucus marginatus
Onychostoma fusiforme
Opsarius koratensis
Osteochilus enneaporos
Osteochilus hasseltii
Osteochilus lini
Osteochilus schlegeli
Osteochilus vittatus
Probarbus jullieni
Probarbus labeamajor
Probarbus labeaminor
Puntius brevis
Puntius orphoides
Puntius rhombeus
Puntius tetrazona
Rasbora aurotaenia
Rasbora borapetensis
Rasbora dorsiocellata
Rasbora dusonensis
Rasbora pauciperforata
Rasbora trilineata
Rasbora waterfloris
Sphaeolecus erythropterus
Systomus rubripinnis
Tor tamboides
Tor tambroides
Toxabramis maetaengensis
Trigonostigma espei
Trigonostigma heteromorpha
Trigonopoma pauciperforatum
Zacco platypus
Mekongina erythrospila
Mekongina lancangensis
Mekongina hoops
Mekongina baramensis
Pangasius bocourti
Pangasius conchophilus
Pangasius hypophthalmus
Pangasius krempfi
Pangasius sanitwongsei
Hemibagrus filamentus
Hemibagrus nemurus
Hemibagrus spilopterus
Hemibagrus wyckii
Mystus cavasius
Mystus gulio
Mystus mysticetus
Mystus nigriceps
Mystus pluriradiatus
Mystus pulcher
Mystus singaringan
Mystus wolffii
Mystus wyckioides
Pelteobagrus ornatus
Pelteobagrus ussuriensis
Rita macracanthus
Rita rita
Sperata acicularis
Sperata aor
Sperata seenghala
Belodontichthys dinema
Belodontichthys truncatus
Kryptopterus bicirrhis
Kryptopterus cryptopterus
Kryptopterus geminus
Kryptopterus lais
Kryptopterus lumholtzi
Kryptopterus mononema
Kryptopterus palembangensis
Ompok bimaculatus
Ompok eugeneiatus
Ompok hypophthalmus
Ompok leiacanthus
Ompok pabda
Ompok siluroides
Ompok urbaini
Phalacronotus apogon
Phalacronotus bleekeri
Proeutropiichthys taakree
Pterocryptis anomala
Pterocryptis cochinchinensis
Pterocryptis gangelica
Pterocryptis taytayensis
Silurichthys hasseltii
Silurichthys phaiosoma
Silurus aristotelis
Silurus cochinchinensis
Silurus soldatovi
Silurus wynaadensis
Wallago attu
Wallago leerii
Clarias batrachus
Clarias gariepinus
Clarias indica
Clarias leiacanthus
Clarias macrocephalus
Clarias meladerma
Clarias microstomus
Clarias nieuhofii
Clarias pseudonieuhofii
Uegitglanis zammaranoi
Channa argus
Channa asiatica
Channa auriantipinna
Channa bankanensis
Channa bleheri
Channa borealis
Channa cyanospilos
Channa diplogramma
Channa fluvioviridis
Channa formoesa
Channa gachua
Channa harcourtbutleri
Channa limbata
Channa lucius
Channa marmacius
Channa maru
Channa marulius
Channa marulioides
Channa melanopterus
Channa melasoma
Channa micropeltes
Channa ninhbinhensis
Channa pleurophthalma
Channa rara
Channa roylei
Channa siamensis
Channa stewartii
Channa striata
Channa torsaiensis
Parachanna africana
Parachanna obscura
Anabas cobojius
Anabas testudineus
Anabas variegatus
Betta akarensis
Betta albimarginata
Betta anabatoides
Betta apollon
Betta balunga
Betta barboides
Betta bellica
Betta breviobesus
Betta brownorum
Betta chini
Betta compuncta
Betta dimidiata
Betta enisae
Betta falx
Betta ferox
Betta fish
Betta foerschi
Betta fusca
Betta gladiator
Betta hipposideros
Betta ibanorum
Betta imbelis
Betta kuehnei
Betta livida
Betta macrostoma
Betta mahachaiensis
Betta mandor
Betta miniopinna
Betta ocellata
Betta pallida
Betta patoti
Betta persephone
Betta pi
Betta picta
Betta prima
Betta pugnax
Betta rubra
Betta rutilans
Betta schalleri
Betta simplex
Betta simorum
Betta siamorientalis
Betta smaragdina
Betta spilotogena
Betta splendens
Betta stigmosa
Betta strohi
Betta taeniata
Betta unimaculata
Betta waseri
Belontia hasselti
Belontia signata
Ctenops nobilis
Helostoma temminckii
Macropodus opercularis
Macropodus spechti
Osphronemus exodon
Osphronemus goramy
Osphronemus laticlavius
Osphronemus notatus
Parasphaerichthys ocellatus
Parasphaerichthys lineatus
Parosphromenus allani
Parosphromenus anjunganensis
Parosphromenus bintan
Parosphromenus deissneri
Parosphromenus filamentosus
Parosphromenus gunawani
Parosphromenus harveyi
Parosphromenus juelinae
Parosphromenus linkei
Parosphromenus nagyi
Parosphromenus ornaticauda
Parosphromenus paludicola
Parosphromenus phoenicurus
Parosphromenus quindecim
Parosphromenus rubrimontis
Parosphromenus sumatranus
Parosphromenus tweediei
Sphaerichthys acrostoma
Sphaerichthys osphromenoides
Sphaerichthys selatanensis
Sphaerichthys vaillanti
Trichogaster chuna
Trichogaster fasciata
Trichogaster labiosa
Trichogaster lalius
Trichogaster leerii
Trichogaster microlepis
Trichogaster pectoralis
Trichogaster trichopterus
Trichopsis pumila
Trichopsis schalleri
Trichopsis vittata
Monopterus albus
Monopterus boueti
Monopterus cuchia
Monopterus dienbienensis
Monopterus javanensis
Ophisternon aenigmaticum
Ophisternon candidum
Synbranchus lampreia
Synbranchus madeirae
Synbranchus marmoratus
Macrognathus aculeatus
Macrognathus circumcinctus
Macrognathus meklongensis
Macrognathus siamensis
Macrognathus semiocellatus
Macrognathus taeniagaster
Mastacembelus armatus
Mastacembelus cryptacanthus
Mastacembelus elliotti
Mastacembelus favus
Mastacembelus frenatus
Mastacembelus goro
Mastacembelus kakrimensis
Mastacembelus paucispinis
Mastacembelus plagiostomus
Mastacembelus sanagali
Mastacembelus senegallensis
Mastacembelus simbi
Mastacembelus tinwini
Mastacembelus vanderwaali
Mastacembelus zebratus
Sinobdella sinensis
Acanthocobitis botia
Acanthocobitis pavonacea
Acanthocobitis pictilis
Acanthocobitis simplex
Acanthopsoides delphax
Acanthopsoides gracilentus
Acanthopsoides molobrion
Acanthopsis choirorhynchos
Acanthopsis dialuzona
Acanthopsis octoactinotos
Botia almorhae
Botia birdi
Botia dario
Botia histrionica
Botia modesta
Botia rostrata
Botia sidthimunki
Chromobotia macracanthus
Cobitis lebidensis
Cobitis meridionalis
Cobitis punctilineata
Cobitis sexlineata
Cobitis takatsuensis
Cobitis taenia
Cobitis vardarensis
Cobitophis billiei
Kuhlia taeniura
Kottelatlimia hipporhynchos
Kottelatlimia katik
Kottelatlimia pristes
Lepidocephalichthys alkaia
Lepidocephalichthys annandalei
Lepidocephalichthys berdmorei
Lepidocephalichthys furcatus
Lepidocephalichthys guntea
Lepidocephalichthys hasselti
Lepidocephalichthys jonklaasi
Lepidocephalichthys kranos
Lepidocephalichthys menoni
Lepidocephalichthys thermalis
Lepidocephalichthys zeppelini
Pangio anguillaris
Pangio bashai
Pangio cuneovirgata
Pangio filinaris
Pangio fusca
Pangio irrorate
Pangio kuhlii
Pangio longipinnis
Pangio malayana
Pangio mariarum
Pangio muraeniformis
Pangio myersi
Pangio oblonga
Pangio pangia
Pangio piperata
Pangio pulla
Pangio robiginosa
Pangio semicincta
Pangio shelfordii
Somileptus gongota
Syncrossus beauforti
Syncrossus helodes
Syncrossus hymenophysa
Syncrossus reversa
Yasuhikotakia caudipunctata
Yasuhikotakia eos
Yasuhikotakia lecontei
Yasuhikotakia longidorsalis
Yasuhikotakia modesta
Yasuhikotakia morleti
Yasuhikotakia splendida
Aborichthys elongatus
Aborichthys garoensis
Aborichthys kempi
Acanthocobitis zonalternans
Barbatula barbatula
Barbucca diabolica
Bhavania australis
Caecogarra serendipita
Caecogarra typhlops
Eidinemacheilus proudlovei
Hedinichthys yarkandensis
Homatula acuticephala
Homatula anguillioides
Homatula cristata
Homatula disparis
Homatula maculosquama
Homatula potanini
Homatula variegata
Indoreonectes evezardi
Indoreonectes keralensis
Indoreonectes neeleshi
Lefua echigonia
Lefua nikkonis
Longischistura bhimachari
Mesonoemacheilus guentheri
Mesonoemacheilus herrei
Mesonoemacheilus pambarensis
Mesonoemacheilus remadevii
Mesonoemacheilus triangularis
Micronemacheilus zispi
Nemacheilus arabicus
Nemacheilus arenicolus
Nemacheilus binotatus
Nemacheilus chrysolaimos
Nemacheilus elegans
Nemacheilus guttatus
Nemacheilus hamwii
Nemacheilus insignis
Nemacheilus masyae
Nemacheilus monilis
Nemacheilus ornatus
Nemacheilus pallidus
Nemacheilus papilio
Nemacheilus pfeifferae
Nemacheilus pumilus
Nemacheilus singhi
Nemacheilus spiniferus
Nemacheilus starostini
Nemachilichthys rueppelli
Oreonectes anophthalmus
Oreonectes furcocaudalis
Oreonectes macrolepis
Oreonectes platycephalus
Oreonectes polystigmus
Oreonectes rubicundus
Oreonectes tianensis
Oreonectes translucens
Paracobitis vignai
Physoschistura pseudobrunneana
Physoschistura raoi
Pteronemacheilus lucidorsum
Schistura alta
Schistura alticrista
Schistura athos
Schistura aurora
Schistura balteata
Schistura campanula
Bagarius bagarius
Bagarius yarrelli
Bagarius suchus
Bagarius rutilus
Caelatoglanis zonatus
Conta bassaensis
Conta elongata
Erethistoides cavatura
Erethistoides infuscatus
Erethistoides montana
Erethistoides pipri
Erethistoides sicula
Erethistes hara
Erethistes jerdoni
Erethistes maesotensis
Erethistes montana
Erethistes pussilus
Gagata gagata
Gagata youssoufi
Glyptothorax annandalei
Glyptothorax bolavenensis
Glyptothorax buchanani
Glyptothorax callopterus
Glyptothorax cavia
Glyptothorax fokiensis
Glyptothorax garmani
Glyptothorax gracilis
Glyptothorax hongheensis
Glyptothorax jalalensis
Glyptothorax lampris
Glyptothorax laosensis
Glyptothorax macromaculatus
Glyptothorax madraspatanum
Glyptothorax major
Glyptothorax manipurensis
Glyptothorax minimaculatus
Glyptothorax pectinopterus
Glyptothorax platypogonides
Glyptothorax siamensis
Glyptothorax sinense
Glyptothorax telchitta
Glyptothorax trilineatus
Hara filamentosa
Hara hara
Hara jerdoni
Myersglanis blythii
Nangra assamensis
Nangra bucculenta
Nangra robusta
Oreoglanis hypsiurus
Oreoglanis lepturus
Oreoglanis macropterus
Oreoglanis suraswadii
Oreoglanis vicinus
Pareuchiloglanis anteanalis
Pareuchiloglanis feae
Pareuchiloglanis gongshanensis
Pareuchiloglanis incretus
Pareuchiloglanis longicauda
Pareuchiloglanis macrurus
Pareuchiloglanis myzostoma
Pareuchiloglanis transmontanus
Pseudechenis filamentosa
Pseudechenis sih
Pseudechenis sulcata
Pseudechenis sympelvica
Pseudecheneis sulcatus
Pseudobagarius brachyrhamphus
Pseudobagarius filifer
Pseudobagarius hardmani
Pseudobagarius meridionalis
Pseudobagarius nitidus
Pseudobagarius similis
Pseudohomaloptera sexmaculata
Pseudohomaloptera yunnanensis
Sisor rabdophorus
Acrochordonichthys chamaeleon
Acrochordonichthys falcifer
Acrochordonichthys hozumensis
Acrochordonichthys ischnosoma
Acrochordonichthys melanogaster
Acrochordonichthys pachyderma
Acrochordonichthys pleurostictos
Acrochordonichthys rugosus
Acrochordonichthys septentrionalis
Akysis anomalus
Akysis brachybarbatus
Akysis dolangensis
Akysis finlaysi
Akysis furcifer
Akysis heterurus
Akysis leucorhynchus
Akysis longifilis
Akysis manipurensis
Akysis manzii
Akysis maydelli
Akysis moorei
Akysis pictus
Akysis pseudobagarius
Akysis pulvinatus
Akysis similis
Akysis varius
Breitensteinia longicauda
Parakysis grandis
Parakysis verrucosus
Amblyceps apangi
Amblyceps arunachalensis
Amblyceps arunchalensis
Amblyceps caecus
Amblyceps carinatus
Amblyceps cerinum
Amblyceps foratum
Amblyceps laticeps
Amblyceps mangois
Amblyceps marasitus
Amblyceps mucronatum
Amblyceps papiliodicephalus
Amblyceps platysoma
Amblyceps serratum
Amblyceps tibetanum
Amblyceps tuberculatum
Amblyceps tchangi
Liobagrus kingi
Liobagrus marginatus
Liobagrus marginatoides
Liobagrus nigricauda
Liobagrus reinii
Xiurenbagrus gigas
Xiurenbagrus xiurenensis
Chaca bankanensis
Chaca burmensis
Chaca chaca
Heteropneustes fossilis
Heteropneustes longipectoralis
Heteropneustes microps
Neosiluroides cooperensis
