Species,Sequence_Type,Accession,Title,Organism,Length,Country,Geo_location,Source_info,Collection_date,Isolation_source,Strain,Authors,Journal
Hypophthalmichthys molitrix,Target,PV544807.1,"Hypophthalmichthys molitrix isolate BL10 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,575,,"India: Himachal Pradesh, Bilaspur'', ''Luhnu, Gobind sagar, Satluj river",,09-Sep-24,,BL10,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537514.1,"Hypophthalmichthys molitrix isolate BL7 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,552,,"India: Himachal Pradesh, Bilaspur'', ''Luhnu, Satluj river",,09-Sep-24,,BL7,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537513.1,"Hypophthalmichthys molitrix isolate BLD cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,594,,"India: Himachal Pradesh, Bilaspur'', ''Luhnu, Satluj river",,09-Sep-24,,BLD,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537512.1,"Hypophthalmichthys molitrix isolate BLA cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,589,,"India: Himachal Pradesh, Bilaspur'', ''Luhnu, Satluj river",,09-Sep-24,,BLA,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537511.1,"Hypophthalmichthys molitrix isolate KD3 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,600,,"India: Himachal Pradesh, Bilaspur'', ''Kol Dam, Satluj river",,05-Nov-24,,KD3,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537510.1,"Hypophthalmichthys molitrix isolate KD2 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,577,,"India: Himachal Pradesh, Bilaspur'', ''Kol Dam, Satluj river",,05-Nov-24,,KD2,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537509.1,"Hypophthalmichthys molitrix isolate KD1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,546,,"India: Himachal Pradesh, Bilaspur'', ''Kol Dam, Satluj river",,05-Nov-24,,KD1,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537508.1,"Hypophthalmichthys molitrix isolate UN6 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,570,,"India: Himachal Pradesh, Una'', ''Bhakra Dam, Satluj river",,02-Sep-24,,UN6,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537507.1,"Hypophthalmichthys molitrix isolate UN5 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,583,,"India: Himachal Pradesh, Una'', ''Bhakra Dam, Satluj river",,02-Sep-24,,UN5,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
Hypophthalmichthys molitrix,Target,PV537418.1,"Hypophthalmichthys molitrix isolate UN4 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Hypophthalmichthys molitrix,640,,"India: Himachal Pradesh, UNA Bhakra Dam, Satluj river",,02-Sep-24,,UN4,"Kumar,R., Sharma,D., Yadav,P.K., Thakur,K., Sharma,A.K., Sharma,D. and Kumar,S.",Unpublished
